"Status","Application Name","Record Type","Assigned to Staff","Assigned Date","Record #","Unit #","Start Fraction","Zip Code","Closed Date","Street #","Dir","Type","Street Name","Short Notes","Opened Date"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00032","","","40216","","1949","","TRCE","LOWER HUNTERS","","02/10/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00031","","","40202","","339","S","ST","PRESTON","","02/08/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00030","","","40211","","2601","","AVE","VIRGINIA","","02/06/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00029","","","40272","","801","","DR","VALLEY COLLEGE","","01/30/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00028","","","40291","","7707","","RD","BARDSTOWN","","01/30/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00027","","","40299","","9410","","RD","TAYLORSVILLE","","01/26/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00026","","","40207","","3786","","RD","LEXINGTON","","01/26/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00025","101","","40214","","5330","S","ST","3RD","","01/25/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00024","","","40220","","9301","","BLVD","HURSTBOURNE PARK","","01/24/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00023","109","","40202","","411","S","ST","4TH","","01/23/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00022","","","40205","","1529","","RD","BARDSTOWN","","01/23/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00021","","","40219","","6624","","HWY","PRESTON","","01/23/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00020","","","40213","","2900","","RD","FERN VALLEY","","01/23/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00019","","","40218","","3700","","LN","KLONDIKE","","01/23/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00018","","","40206","","2912","","RD","BROWNSBORO","","01/17/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00017","","","40203","","309","E","ST","ST CATHERINE","","01/12/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00016","","","40219","","5046","","RD","POPLAR LEVEL","","01/12/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00015","210","","40216","","4443","","RD","CANE RUN","","01/10/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00014","","","40206","01/29/2024","1971","","RD","BROWNSBORO","","01/10/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00013","","","40211","","1500","","ST","HEMLOCK","","01/08/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-24-00012","","","40219","","7214","","HWY","PRESTON","","01/08/2024"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-24-00011","","","40211","01/29/2024","2601","","AVE","VIRGINIA","","01/04/2024"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00127","","","40203","01/01/2024","331","E","ST","OAK","","12/28/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00126","","","40203","","334","E","ST","OAK","","12/26/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00125","","","40203","","2038","","PKY","NORTHWESTERN","","12/22/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00124","","","40210","","1442","S","ST","22ND","","12/22/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00123","","","40215","","4101","","BLVD","TAYLOR","","12/22/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00122","","","40208","","344","E","ST","LEE","","12/22/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00121","","","40219","","8112","","RD","BLUE LICK","","12/22/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00120","","","40204","","1004","E","ST","OAK","","12/19/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00119","","","40217","01/01/2024","796","","PKY","EASTERN","","12/16/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00118","210","","40216","","4443","","RD","CANE RUN","","12/16/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00117","","","40218","01/29/2024","2253","","LN","HIKES","","12/16/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00116","","","40203","01/29/2024","1001","W","","BROADWAY","","12/16/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00115","","","40213","","3318","","HWY","PRESTON","","12/15/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00114","","","40213","","3210","","HWY","PRESTON","","12/15/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00113","","","40291","","5715","","RD","BARDSTOWN","","12/15/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00112","","","40219","01/29/2024","5046","","RD","POPLAR LEVEL","","12/15/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00111","","","40219","","7212","","HWY","PRESTON","","12/13/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00110","","","40219","","8116","","RD","BLUE LICK","","12/13/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00109","","","40204","","2003","","AVE","HIGHLAND","","12/12/2023"
"Expired","","Tobacco Ordinance License","","","LIC-TOBL-23-00108","","","40229","01/29/2024","7519","","RD","Mt Washington","","12/11/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00107","112","","40228","","5520","","RD","FERN VALLEY","","12/08/2023"
"Active","","Tobacco Ordinance License","","","LIC-TOBL-23-00106","","","40228","","7105","","LN","FEGENBUSH","","12/08/2023"
